shot_107.shot	cue=white	aim=161.2	speed=3.70	eng=+0	fol=-7	cue_rms=287	obj_rms=677	pen=1.13	x01@0.91 r0+y@1.01 r1-x@1.03 r0-x@1.03 x01@1.28 x02@1.86 r1-y@2.75 r2-y@3.73 x01@4.67 r1+y@8.67
shot_109.shot	cue=yellow	aim=97.7	speed=2.02	eng=-39	fol=-7	cue_rms=92	obj_rms=55	pen=0.00	x01@0.20 r0+y@0.32 r1+y@0.56 r1+x@1.98 r0-y@2.27 r0-x@3.01
shot_11.shot	cue=white	aim=149.0	speed=3.26	eng=+17	fol=+39	cue_rms=543	obj_rms=686	pen=1.42	r0+y@0.35 r0-x@0.41 r0-y@2.07 x01@2.25 r1+x@2.95 r0+x@3.39 r1+y@7.48
shot_110.shot	cue=white	aim=173.5	speed=4.62	eng=+2	fol=-46	cue_rms=446	obj_rms=97	pen=0.05	x01@0.30 r0+y@0.62 r0-x@0.69 r1-y@1.13 x12@1.57 r0-y@1.91 r1-x@2.73 r0+x@2.82 r0+y@3.80 r2+y@5.20 r0-x@6.67 r0-y@6.83 r0+y@13.39
shot_111.shot	cue=yellow	aim=329.0	speed=2.58	eng=+42	fol=+2	cue_rms=165	obj_rms=104	pen=0.00	x01@0.20 r1-y@0.71 r0+x@1.43 r0-y@2.21 r1+y@3.50 r0-x@4.92 x02@5.52 r2+y@5.74 x02@6.07
shot_112.shot	cue=yellow	aim=320.7	speed=2.88	eng=+22	fol=+5	cue_rms=144	obj_rms=82	pen=0.00	x01@0.35 r1-y@0.84 r0+x@1.21 r0-y@2.11 r1+y@2.95 r0-x@4.82 r0+y@6.38
shot_113.shot	cue=yellow	aim=120.4	speed=3.58	eng=+50	fol=+0	cue_rms=148	obj_rms=216	pen=0.02	x01@0.20 r0+y@0.72 r1+y@0.94 r1-x@1.13 r0+x@1.43 x12@1.52 r0-y@2.15 r1-y@2.99 r0+y@4.30 r1+x@4.67 r1+y@6.28 r0-x@6.31
shot_114.shot	cue=yellow	aim=115.3	speed=2.45	eng=-36	fol=+3	cue_rms=110	obj_rms=142	pen=0.03	x02@0.30 r0+y@0.56 r2-x@0.76 r2+y@1.47 r0-x@1.85 r0-y@2.29 x01@3.61
shot_115.shot	cue=yellow	aim=355.6	speed=5.35	eng=-0	fol=+5	cue_rms=147	obj_rms=164	pen=0.83	r0+x@0.45 x02@0.55 r0+y@0.96 r2-y@1.04 r0-x@1.98 r2+y@2.70 r0-y@3.00 r2-x@4.41 r0+x@5.57 r0+y@6.50 r2-y@8.95
shot_116.shot	cue=white	aim=21.6	speed=3.30	eng=+17	fol=-19	cue_rms=148	obj_rms=44	pen=0.03	r0+y@0.52 r0+x@0.63 r0-y@2.07 x01@2.43 r1-x@3.32 x01@4.04 r0+y@6.31
shot_117.shot	cue=yellow	aim=246.4	speed=4.27	eng=-26	fol=-34	cue_rms=241	obj_rms=495	pen=1.42	x01@0.17 r1-y@0.36 r1-x@0.36 r1+y@1.13 r1-y@2.46 r1+x@2.62 r0+x@2.94 r0+y@3.62 x01@5.68 r0-x@8.35 r0-y@9.73 x02@10.69
shot_12.shot	cue=white	aim=167.7	speed=1.92	eng=-48	fol=+4	cue_rms=136	obj_rms=159	pen=0.07	x01@0.38 r0+y@0.65 r0-x@2.28 r0-y@3.48 x02@3.91 r1-y@4.08 r1-x@5.12 r0+x@7.94
shot_13.shot	cue=white	aim=175.5	speed=3.86	eng=-1	fol=+2	cue_rms=203	obj_rms=141	pen=0.02	x01@0.59 r0-x@0.82 r1-y@1.48 r0+y@1.51 r1-x@1.71 r0+x@2.88 r0-y@4.18 r1+y@6.31 r0-x@7.28 r0+y@8.17 x02@11.27
shot_14.shot	cue=white	aim=327.9	speed=3.21	eng=+23	fol=-34	cue_rms=98	obj_rms=479	pen=1.80	x02@0.14 r0-y@0.87 r2+x@1.03 r0-x@2.11 x12@2.82 r0+y@3.40 r2-x@3.79 x01@3.86 r1+y@4.62 r0-y@8.83
